Crop,Season,Yield,Year,Production,Area,Crop_encoded,Season_encoded,Productivity,Year_normalized
Bajra,Kharif,1132.0,2015,80.67,71.29,0,0,1.1315752559966334,0
Bajra,Kharif,1305.0,2016,97.3,74.59,0,0,1.3044644054162755,1
Bajra,Kharif,1231.0,2017,92.09,74.81,0,0,1.2309851624114423,2
Bajra,Kharif,1219.0,2018,86.64,71.05,0,0,1.2194229415904294,3
Bajra,Kharif,1374.0,2019,103.63,75.43,0,0,1.3738565557470501,4
Bajra,Kharif,1420.0,2020,108.63,76.52,0,0,1.4196288552012546,5
Bajra,Kharif,1430.0,2021,97.81,68.41,0,0,1.42976173074112,6
Bajra,Kharif,1443.0,2022,103.49,71.72,0,0,1.4429726715002789,7
Bajra,Kharif,1387.0,2023,96.63,69.66,0,0,1.3871662360034454,8
Bajra,Kharif,1441.0,2024,98.48,68.36,0,0,1.4406085430076068,9
Bajra,Summer,2705.0,2022,10.82,4.0,0,2,2.705,7
Bajra,Summer,2579.0,2023,10.53,4.08,0,2,2.580882352941176,8
Bajra,Summer,2717.0,2024,10.15,3.74,0,2,2.713903743315508,9
Bajra,Total,1132.0,2015,80.67,71.29,0,3,1.1315752559966334,0
Bajra,Total,1305.0,2016,97.3,74.59,0,3,1.3044644054162755,1
Bajra,Total,1231.0,2017,92.09,74.81,0,3,1.2309851624114423,2
Bajra,Total,1219.0,2018,86.64,71.05,0,3,1.2194229415904294,3
Bajra,Total,1374.0,2019,103.63,75.43,0,3,1.3738565557470501,4
Bajra,Total,1420.0,2020,108.63,76.52,0,3,1.4196288552012546,5
Bajra,Total,1430.0,2021,97.81,68.41,0,3,1.42976173074112,6
Bajra,Total,1510.0,2022,114.31,75.72,0,3,1.5096407818277866,7
Bajra,Total,1453.0,2023,107.16,73.75,0,3,1.4530169491525424,8
Bajra,Total,1507.0,2024,108.63,72.1,0,3,1.5066574202496532,9
Jowar,Kharif,850.0,2015,18.16,21.38,1,0,0.8493919550982227,0
Jowar,Kharif,954.0,2016,19.64,20.59,1,0,0.953861097620204,1
Jowar,Kharif,1104.0,2017,22.74,20.6,1,0,1.1038834951456309,2
Jowar,Kharif,989.0,2018,17.35,17.55,1,0,0.9886039886039887,3
Jowar,Kharif,967.0,2019,16.97,17.55,1,0,0.9669515669515668,4
Jowar,Kharif,1210.0,2020,19.86,16.42,1,0,1.2095006090133982,5
Jowar,Kharif,1090.0,2021,15.98,14.66,1,0,1.0900409276944065,6
Jowar,Kharif,1071.0,2022,14.8,13.82,1,0,1.0709117221418234,7
Jowar,Kharif,1170.0,2023,15.09,12.89,1,0,1.1706749418153606,8
Jowar,Kharif,1234.0,2024,17.54,14.21,1,0,1.2343420126671356,9
Jowar,Rabi,615.0,2015,24.22,39.39,1,1,0.6148768723026148,0
Jowar,Rabi,730.0,2016,26.04,35.65,1,1,0.7304347826086957,1
Jowar,Rabi,853.0,2017,25.3,29.65,1,1,0.8532883642495784,2
Jowar,Rabi,744.0,2018,17.4,23.39,1,1,0.7439076528430952,3
Jowar,Rabi,1002.0,2019,30.75,30.69,1,1,1.0019550342130987,4
