"Crop","Season","Area-2015-16","Area-2016-17","Area-2017-18","Area-2018-19","Area-2019-20","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25"
"Rice","Kharif","396.56","398.46","393.49","399.64","390.13","403.58","410.38","404.03","407.34","434.13"
"Rice","Rabi","38.43","41.48","44.25","41.92","46.49","54.11","52.40","43.28","40.76","44.74"
"Rice","Summer","","","","","","","","31.01","30.18","35.36"
"Rice","Total","434.99","439.93","437.74","441.56","436.62","457.69","462.79","478.32","478.28","514.23"
"Wheat","Rabi","304.18","307.85","296.51","293.19","313.57","311.25","304.59","314.01","318.33","327.61"
"Wheat","Total","304.18","307.85","296.51","293.19","313.57","311.25","304.59","314.01","318.33","327.61"
"Maize","Kharif","71.80","78.42","74.34","73.31","75.53","77.55","77.85","80.53","83.29","84.30"
"Maize","Rabi","16.26","17.92","19.46","16.97","20.16","21.37","21.73","21.83","21.75","27.24"
"Maize","Summer","","","","","","","","5.08","7.37","8.64"
"Maize","Total","88.06","96.33","93.80","90.27","95.69","98.92","99.58","107.44","112.41","120.17"
"Jowar","Kharif","21.38","20.59","20.60","17.55","17.55","16.42","14.66","13.82","12.89","14.21"
"Jowar","Rabi","39.39","35.65","29.65","23.39","30.69","27.36","23.34","21.37","27.36","25.14"
"Jowar","Summer","","","","","","","","0.16","0.51","0.48"
"Jowar","Total","60.77","56.24","50.24","40.93","48.24","43.78","38.01","35.35","40.76","39.84"
"Bajra","Kharif","71.29","74.59","74.81","71.05","75.43","76.52","68.41","71.72","69.66","68.36"
"Bajra","Summer","","","","","","","","4.00","4.08","3.74"
"Bajra","Total","71.29","74.59","74.81","71.05","75.43","76.52","68.41","75.72","73.75","72.10"
"Ragi","Kharif","11.38","10.16","11.94","8.91","10.04","11.59","12.18","11.63","12.15","12.29"
"Ragi","Total","11.38","10.16","11.94","8.91","10.04","11.59","12.18","11.63","12.15","12.29"
