"Crop","Season","Yield-2015-16","Yield-2016-17","Yield-2017-18","Yield-2018-19","Yield-2019-20","Yield-2020-21","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Rice","Kharif","2305.00","2417.00","2469.00","2553.00","2622.00","2607.00","2705.00","2735.00","2780.00","2807.00"
"Rice","Rabi","3382.00","3230.00","3531.00","3444.00","3569.00","3541.00","3525.00","3467.00","3582.00","3503.00"
"Rice","Summer","","","","","","","","3302.00","3302.00","3265.00"
"Rice","Total","2400.00","2494.00","2576.00","2638.00","2722.00","2717.00","2798.00","2838.00","2882.00","2899.00"
"Wheat","Rabi","3034.00","3200.00","3368.00","3533.00","3440.00","3521.00","3537.00","3521.00","3559.00","3587.00"
"Wheat","Total","3034.00","3200.00","3368.00","3533.00","3440.00","3521.00","3537.00","3521.00","3559.00","3587.00"
"Maize","Kharif","2236.00","2413.00","2706.00","2648.00","2572.00","2779.00","2914.00","2940.00","2671.00","2947.00"
"Maize","Rabi","4006.00","3897.00","4436.00","4893.00","4631.00","4723.00","5084.00","5355.00","5529.00","4999.00"
"Maize","Summer","","","","","","","","5361.00","4603.00","4425.00"
"Maize","Total","2563.00","2689.00","3065.00","3070.00","3006.00","3199.00","3387.00","3545.00","3351.00","3518.00"
"Jowar","Kharif","850.00","954.00","1104.00","989.00","967.00","1210.00","1090.00","1071.00","1170.00","1234.00"
"Jowar","Rabi","615.00","730.00","853.00","744.00","1002.00","1033.00","1093.00","1086.00","1165.00","1227.00"
"Jowar","Summer","","","","","","","","811.00","789.00","830.00"
"Jowar","Total","697.00","812.00","956.00","849.00","989.00","1099.00","1092.00","1079.00","1162.00","1225.00"
"Bajra","Kharif","1132.00","1305.00","1231.00","1219.00","1374.00","1420.00","1430.00","1443.00","1387.00","1441.00"
"Bajra","Summer","","","","","","","","2705.00","2579.00","2717.00"
"Bajra","Total","1132.00","1305.00","1231.00","1219.00","1374.00","1420.00","1430.00","1510.00","1453.00","1507.00"
"Ragi","Kharif","1601.00","1363.00","1662.00","1390.00","1747.00","1724.00","1396.00","1454.00","1375.00","1492.00"
"Ragi","Total","1601.00","1363.00","1662.00","1390.00","1747.00","1724.00","1396.00","1454.00","1375.00","1492.00"
